Facility ID,ED_2b,EDV,OP_18b,OP_18c,OP_2,OP_22,OP_23,OP_29,OP_31,OP_33,OP_3b,PC_01,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR
100099,82,NA,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,99,NA,94,99
100102,107,NA,108,234,NA,NA,NA,NA,NA,NA,77,0,53,81,NA,78,82
100105,111,very high,151,183,NA,1,77,100,NA,95,NA,0,64,94,97,79,82
100106,94,NA,155,NA,NA,NA,50,NA,NA,NA,NA,NA,75,95,NA,83,93
100107,91,medium,120,84,NA,1,NA,NA,NA,NA,NA,NA,81,92,83,93,93
100109,100,NA,162,264,NA,NA,85,NA,NA,100,NA,1,61,93,NA,75,89
10011,140,high,178,NA,NA,3,8,NA,NA,75,NA,NA,40,71,55,70,91
100110,125,very high,120,NA,NA,0,NA,36,NA,NA,NA,0,67,86,NA,88,85
100113,229,very high,218,435,NA,5,NA,95,NA,96,NA,3,67,90,80,83,92
100117,104,medium,167,204,NA,1,NA,99,NA,NA,NA,0,50,77,17,79,87
100118,76,NA,141,NA,NA,NA,86,96,NA,78,NA,NA,82,91,63,95,99
10012,65,medium,132,NA,NA,3,NA,100,NA,NA,NA,10,88,95,NA,92,99
100121,49,medium,94,111,NA,0,NA,97,NA,NA,NA,NA,65,90,88,78,94
100122,101,medium,140,344,NA,2,80,100,NA,NA,NA,13,57,86,19,83,91
100124,65,medium,110,111,NA,1,NA,93,NA,NA,40,0,86,93,91,94,99
100125,192,very high,200,273,NA,3,56,92,NA,NA,NA,0,74,92,83,86,96
100126,52,low,109,186,NA,0,NA,71,NA,NA,NA,NA,87,97,97,94,93
100127,72,very high,149,240,NA,1,45,88,NA,91,NA,0,84,94,98,91,99
100128,139,NA,219,284,NA,NA,NA,NA,NA,NA,NA,0,28,73,NA,51,63
100130,98,NA,135,NA,NA,NA,44,NA,NA,NA,NA,0,86,96,75,95,98
100131,109,very high,143,188,NA,1,NA,62,NA,NA,NA,NA,75,92,73,90,93
100132,71,high,141,155,NA,1,69,99,NA,NA,NA,0,78,93,90,89,96
100134,102,low,127,185,NA,6,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA
100135,193,NA,163,236,NA,NA,NA,88,NA,18,NA,2,32,79,NA,56,71
100137,136,NA,122,NA,NA,NA,NA,NA,NA,NA,NA,0,97,100,100,99,99
10013F,114,medium,130,NA,NA,3,NA,82,NA,NA,NA,0,NA,NA,NA,NA,NA
100140,106,medium,150,152,NA,2,NA,99,NA,NA,50,2,37,77,12,69,78
100142,113,medium,87,117,NA,1,NA,41,NA,NA,NA,3,83,98,91,89,97
100150,42,medium,125,227,93,1,100,80,NA,NA,152,2,73,89,57,90,98
100151,113,medium,188,NA,NA,1,NA,84,NA,91,NA,NA,56,84,87,75,89
100154,102,high,225,NA,NA,1,NA,75,95,NA,NA,5,56,85,77,70,100
100156,99,high,60,NA,NA,0,88,NA,NA,NA,27,NA,77,95,78,94,85
100157,34,NA,152,170,NA,NA,63,20,NA,73,NA,3,58,84,90,79,88
10016,84,medium,191,152,NA,2,100,95,NA,NA,NA,0,74,93,95,82,97
100161,109,high,157,284,NA,0,NA,NA,NA,NA,NA,2,70,91,72,84,93
100166,72,high,128,198,NA,0,NA,91,NA,NA,NA,NA,91,99,91,94,100
100167,111,very high,127,128,NA,0,NA,67,NA,67,NA,2,92,100,NA,94,97
100168,116,NA,174,204,NA,NA,92,NA,NA,NA,NA,0,75,91,80,87,99
100173,121,very high,148,252,NA,1,NA,92,NA,96,NA,0,64,85,59,83,95
100175,80,low,114,218,NA,1,90,97,NA,NA,48,NA,66,90,NA,84,100
100176,102,medium,147,175,NA,0,NA,100,NA,NA,NA,NA,55,80,NA,84,90
100177,104,medium,166,210,NA,1,NA,94,NA,NA,NA,0,81,90,82,94,95
100179,162,NA,131,288,NA,NA,NA,NA,NA,NA,NA,1,86,98,93,93,96
10018,32,low,117,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100180,63,medium,124,NA,NA,0,NA,NA,NA,NA,NA,0,78,93,58,92,96
100181,142,NA,262,388,NA,NA,NA,NA,NA,NA,NA,NA,92,99,NA,93,100
100183,99,medium,191,174,NA,0,NA,94,NA,NA,NA,NA,77,100,91,82,94
100187,128,very high,170,NA,NA,0,NA,100,NA,NA,NA,5,76,90,100,88,94
100189,113,high,130,220,NA,1,NA,83,NA,NA,NA,9,58,90,59,78,89
